title,brand,maker,mallName,lprice,hprice,productType,category1,category2,category3,category4,제품명
삼성전자 갤럭시 버즈 4 프로 SM-R640N,갤럭시,삼성전자,네이버,339000,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,삼성전자 갤럭시 버즈 4 프로 SM-R640N
NEW QCY 큐씨와이 AIR 초경량 가 성비 음질좋은 블루투스 <b>무선 이어폰</b> 오픈형,QCY,,비욘드퍼니싱,21800,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY AIR
베이스어스 BP1 PRO 노이즈캔슬링 <b>이어폰</b>,베이스어스,베이스어스,네이버,29900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,베이스어스 BP1 PRO
QCY CT06 ,QCY,QCY,네이버,47900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY CT06
삼성전자 갤럭시 버즈3 FE SM-R420N,갤럭시,삼성전자,네이버,126890,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,삼성전자 갤럭시 버즈3 FE SM-R420N
QCY T17 APP,QCY,QCY,네이버,21800,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY T17 APP
삼성전자 갤럭시 버즈 4 SM-R540N,갤럭시,삼성전자,네이버,227890,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,삼성전자 갤럭시 버즈 4 SM-R540N
QCY T13APP,QCY,QCY,네이버,24300,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY T13APP
[공식] 삼성 갤럭시 버즈4 프로 <b>무선</b> 블루투스 <b>이어폰</b> SM-R640N,갤럭시,삼성전자,삼성공식파트너 엠디텍,359000,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,삼성 갤럭시 버즈4 프로 SM-R640N
블라우풍트 BLP-OE383,블라우풍트,블라우풍트,네이버,61180,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,블라우풍트 BLP-OE383
로랜텍 커널형 버즈 <b>무선</b> 블루투스 <b>이어폰</b> RSM-R510,로랜텍,로랜텍,네이버,19800,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,로랜텍 RSM-R510
Apple 에어팟 프로 3세대,Apple,Apple,네이버,329070,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,Apple 에어팟 프로 3세대
아이리버 ITW-C1,아이리버,아이리버,네이버,34800,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이리버 ITW-C1
QCY QCY-HT08,QCY,QCY,네이버,44500,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY HT08
베이스어스 오픈형 <b>무선 이어폰</b> MC2,베이스어스,베이스어스,네이버,79900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,베이스어스 MC2
QCY HT10 AilyBuds Pro,QCY,QCY,네이버,31400,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY HT10 AilyBuds Pro
브리츠 오픈형 블루투스 이어폰 귀찌 귀걸이형 운동 러닝 <b>무선 이어폰</b> 노이즈 캔슬링,브리츠,브리츠,스피드썬,49900,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,브리츠 오픈형 이어폰
QCY T43 Buds,QCY,QCY,네이버,18900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY T43 Buds
오픈형 블루투스 이어폰 귀걸이형 운동 러닝 <b>무선 이어폰</b> 노이즈 제거,쏘빗,,쏘빗 공식몰,28900,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,오픈형 이어폰
볼티움 수영 러닝 골전도 블루투스 <b>무선</b> 운동용 <b>이어폰</b> 아쿠아본x,볼티움,,볼티움,119900,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,볼티움 아쿠아본X
Apple 에어팟 4 액티브 노이즈 캔슬링 MXP93KH/A,Apple,Apple,네이버,237990,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,Apple 에어팟 4 MXP93KH/A
스마텍 오픈형 <b>무선</b> 골전도 블루투스 <b>이어폰</b> 운동 러닝 스포츠 이어셋,스마텍,스마텍,스마텍 공식몰,25900,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,스마텍 골전도 이어폰
로랜텍 RSM-R540,로랜텍,로랜텍,네이버,49800,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,로랜텍 RSM-R540
아이리버 오픈형 귀걸이 LCD <b>무선 이어폰</b> IB-ZX4 ,아이리버,아이리버,네이버,38900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이리버 IB-ZX4
[공식] 삼성전자 갤럭시 버즈4 프로 블루투스 <b>이어폰</b> SM-R640,갤럭시,삼성전자,삼성공식파트너 제이유,359000,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,삼성전자 갤럭시 버즈4 프로 SM-R640
삼성전자 갤럭시 버즈3 FE <b>무선</b> 블루투스 <b>이어폰</b> ANC SM-R420N,갤럭시,삼성전자,삼성공식파트너사 포디아이,159000,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,삼성전자 갤럭시 버즈3 FE SM-R420N
아이리버 IB-IX7,아이리버,아이리버,네이버,37900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이리버 IB-IX7
라익미 LE10 사운드미 ANC 노이즈캔슬링 <b>무선</b> 블루투스 <b>이어폰</b>,라익미,라익미,네이버,12300,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,라익미 LE10 사운드미
지노바 블루투스 <b>무선 이어폰</b> 커널형 런닝 운동 스포츠 노이즈캔슬링,지노바,지노바,지노바,29900,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,지노바 커널형 이어폰
[공식] 삼성 갤럭시 버즈4 <b>무선</b> 블루투스 <b>이어폰</b> SM-R540N,갤럭시,삼성전자,삼성공식파트너 엠디텍,259000,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,삼성 갤럭시 버즈4 SM-R540N
브리츠 오픈형 블루투스 이어폰 귀찌 러닝 귀걸이형 이어커프 <b>무선 이어폰</b> 이어클립,브리츠,브리츠,브리츠 공식몰,39900,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,브리츠 오픈형 이어폰
지노바 OpenRide,지노바,지노바,네이버,55900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,지노바 OpenRide
샥즈 오픈핏 2+ T921 오픈형 귀걸이형 귀안아픈 블루투스 공기전도 귀걸이 <b>이어폰</b>,샥즈,,샥즈 코리아,274550,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,샥즈 오픈핏 2+ T921
아남 수영 러닝 골전도 자전거 헬스 블루투스 <b>무선</b> 스포츠 방수 <b>이어폰</b>,아남,아남,자전거총각,89000,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아남 골전도 이어폰
브리츠 ProPods5Plus,브리츠,브리츠,네이버,33900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,브리츠 ProPods5Plus
베이스어스 Bowie MC1,베이스어스,베이스어스,네이버,43900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,베이스어스 Bowie MC1
